No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
55,FITB,0.39%,0.61%,18.28%,6.43%,69.67%,60.32%,1.63%,1.93%,2.00,4.56M,0.94,44.20,-1.41%,"4,292,740"
56,FOX,-0.71%,-5.99%,12.19%,3.87%,35.77%,29.99%,2.02%,2.52%,-,910.71K,0.81,37.54,-0.19%,"738,941"
57,FOXA,-0.98%,-6.37%,11.36%,8.16%,43.08%,38.36%,2.40%,2.68%,2.40,2.65M,0.68,40.29,-0.32%,"1,799,109"
58,FTNT,2.46%,2.78%,15.41%,60.77%,188.25%,129.82%,2.55%,3.34%,2.20,907.48K,0.79,341.35,0.10%,"715,401"
59,GILD,0.21%,0.84%,-5.87%,-2.73%,10.64%,15.79%,1.31%,1.64%,2.40,6.37M,1.21,67.46,0.85%,"7,725,950"
60,GOOG,1.66%,3.64%,8.87%,26.53%,68.42%,70.17%,1.30%,1.97%,1.60,1.11M,0.68,2981.24,-0.01%,"759,118"
61,GOOGL,1.48%,3.36%,9.11%,28.35%,68.08%,68.94%,1.38%,2.04%,1.70,1.46M,0.67,2960.94,0.12%,"976,031"
62,GRMN,1.26%,-9.21%,-13.17%,3.98%,23.44%,21.03%,1.75%,2.45%,2.40,725.83K,0.80,144.83,-0.74%,"578,395"
63,HAS,3.13%,7.95%,6.26%,6.23%,9.60%,7.67%,1.67%,2.46%,1.90,726.47K,0.90,100.71,1.30%,"657,010"
64,HBAN,2.64%,-0.18%,11.56%,5.09%,35.69%,29.14%,2.02%,2.09%,2.30,11.78M,0.67,16.31,-1.09%,"7,936,769"
65,HOLX,2.53%,3.27%,-4.32%,16.27%,1.74%,0.58%,2.06%,2.37%,1.60,1.43M,0.83,73.25,0.10%,"1,183,768"
66,HON,-2.18%,-0.58%,-3.18%,-0.74%,7.38%,3.66%,1.29%,1.50%,2.30,2.13M,0.89,220.49,-0.40%,"1,888,394"
67,HSIC,-0.86%,0.71%,2.31%,-2.39%,19.97%,15.93%,1.78%,2.24%,2.60,656.45K,0.54,77.51,-0.55%,"353,057"
68,HST,-3.66%,4.76%,16.89%,2.36%,22.84%,18.73%,2.06%,2.34%,2.70,7.22M,0.95,17.37,-0.29%,"6,857,545"
69,IDXX,0.89%,-2.03%,-7.88%,16.46%,37.76%,25.63%,2.19%,2.51%,2.40,382.85K,0.81,627.99,-0.83%,"310,432"
